GaugeID,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,KoppenGeiger Climate Type
585,25.50547,12.361441,51.864276,271.007403,36.735795,12.903129,23.832666,25.337338,23.737213,29.083709,22.156758,3025.142678,1228.79224,0.861076,162.405361,2550.290363,3.219024,361.259074,5.663329,Tropical
596,25.404311,9.23789,55.297388,172.180126,33.565244,16.854472,16.710772,25.061213,24.714431,27.815075,23.700339,3486.989837,1356.119919,0.152439,151.710348,2848.855691,3.323171,112.5,17.638211,Tropical
602,25.624695,9.435112,53.038277,198.417931,34.457312,16.663933,17.793379,25.642638,24.617885,28.337829,23.436084,3413.185771,1408.132411,0.067194,158.365285,2826.36166,1.579051,466.51087,7.855731,Tropical
635,24.697116,13.489069,51.997748,312.343017,37.21263,11.273022,25.939608,24.69549,22.683453,28.783872,20.832747,977.227105,310.872203,0.283622,120.732693,708.380507,4.309689,163.994694,10.433103,Arid
645,24.18875,12.896921,51.864366,291.23305,36.030787,11.164652,24.866135,24.154922,22.25344,27.997624,20.554466,1637.04561,590.950969,0.672748,143.361713,1294.781072,3.984036,232.706956,7.874572,Tropical
646,26.423103,9.935759,53.047939,208.956301,35.222015,16.490485,18.73153,26.808893,24.973165,29.232307,23.862811,4096.143657,1671.061567,0.229478,160.370878,3436.283582,1.014925,674.932836,3.490672,Tropical
648,26.520563,9.785173,53.303916,202.433881,34.992857,16.633766,18.359091,26.978355,24.976732,29.232792,23.9829,4234.220779,1710.350649,0.37013,159.536232,3545.422078,1.902597,707.37013,4.266234,Tropical
656,24.894382,12.945856,54.991056,252.321606,37.347565,13.805645,23.54192,23.774055,24.487166,28.587392,22.341247,588.617322,132.218871,0.00249,90.001184,309.830659,5.100443,80.15772,36.404815,Arid
668,26.2644,11.008383,52.312192,238.09362,36.123773,15.072589,21.051184,26.82586,24.634772,29.43181,23.309842,3608.472081,1465.874788,0.887479,158.986766,2981.358714,3.441624,560.473773,4.895939,Tropical
626,24.816228,12.945148,52.499026,289.143911,37.12452,12.482875,24.641645,24.663163,23.39682,28.620459,21.397075,960.403614,327.786354,0.578803,111.449504,661.346386,4.473355,159.797357,21.626537,Arid
589,24.264039,11.755919,53.999849,234.531132,35.700072,13.956643,21.743429,23.38273,23.809613,27.678566,21.948542,1106.081821,382.54262,0.134767,112.842455,754.327808,5.595041,82.942581,48.571955,Tropical
612,25.360485,12.931817,53.186996,284.295439,37.740013,13.430735,24.309278,24.933291,24.305356,29.218033,22.104977,830.281787,250.790995,0.6366,105.363442,531.936413,5.094651,111.946095,28.968742,Arid
640,24.461878,12.879812,52.456296,283.851645,36.629597,12.093588,24.536009,24.403163,22.97866,28.187455,21.092477,1092.876744,387.306576,0.444278,115.175816,775.851267,4.258469,182.904213,18.587674,Arid
642,24.902247,12.899039,52.777355,284.862773,37.202514,12.774029,24.428485,24.633413,23.613184,28.683336,21.586882,872.126011,288.74765,0.516029,108.457693,583.372168,4.479854,132.38612,25.745902,Arid
643,24.15135,10.871689,54.394201,202.386351,34.497085,14.513735,19.98335,23.420391,23.831212,27.133015,22.223964,1922.841206,765.146064,0.459966,134.482891,1468.086432,8.835511,109.594975,55.556784,Tropical
654,23.263499,10.160098,52.854254,209.228395,33.383411,14.176623,19.206788,22.636685,22.907205,26.356993,21.349279,2059.474332,836.28129,0.380569,145.670053,1590.232075,6.0437,82.256682,75.116249,Tropical
678,24.260225,11.62029,54.068787,229.416043,35.523993,14.053307,21.470685,23.404303,23.824559,27.604177,22.002813,1230.965763,440.429336,0.185083,115.908746,862.866732,6.173779,87.616312,49.557953,Tropical
681,24.125536,11.080109,53.864529,215.130543,34.866722,14.311079,20.555643,23.427544,23.751853,27.283951,22.065938,1560.014994,605.421491,0.219908,130.88411,1147.774677,7.00833,98.783007,44.109121,Tropical
682,24.988929,12.785857,53.388882,273.500875,37.245938,13.30994,23.935998,24.473107,23.986016,28.696074,21.929353,710.474519,218.079808,0.334976,102.780463,440.066827,4.445793,72.789784,35.068149,Arid
684,23.673744,11.165557,53.365643,229.822506,34.682186,13.784339,20.897847,22.846576,23.210034,27.022617,21.463321,1364.905549,508.264706,0.222711,124.422457,983.093693,5.054124,74.395998,60.815191,Tropical
