GaugeID,Soil type,Land cover,lithology type
585,Leptosols,Mosaic vegetation,No dominant class
596,Leptosols,Mosaic vegetation,No dominant class
602,Leptosols,Mosaic vegetation,No dominant class
635,Vertisols,Cropland,Basic volcanic rocks
645,Vertisols,Cropland,No dominant class
646,Leptosols,No dominant class,No dominant class
648,Leptosols,No dominant class,No dominant class
656,Vertisols,Cropland,No dominant class
668,No dominant class,No dominant class,No dominant class
626,Vertisols,Cropland,Basic volcanic rocks
589,Vertisols,Cropland,Basic volcanic rocks
612,Vertisols,Cropland,Basic volcanic rocks
640,Vertisols,Cropland,Basic volcanic rocks
642,Vertisols,Cropland,Basic volcanic rocks
643,No dominant class,No dominant class,Basic volcanic rocks
654,Leptosols,No dominant class,Basic volcanic rocks
678,Vertisols,Cropland,Basic volcanic rocks
681,Vertisols,Cropland,Basic volcanic rocks
682,Vertisols,Cropland,Basic volcanic rocks
684,No dominant class,Cropland,Basic volcanic rocks
