GaugeID,dem_elev_mean_m,dem_elev_min_m,dem_elev_max_m,dem_elev_std_m,terrain_slope_mean_deg,terrain_aspect_deg_mean,twi_mean,tri_mean,Catchment Relief,Drainage Area,Drainage Density,Stream Order,Ruggedness Number
585,129942957.56043056,129942777.56043056,129943217.56043056,250.69739771832147,28.0,109.1479759067297,8.271347509047944,46.92553158929786,865,637.4835205,0.000154753,3,0.133861199
596,123874831.13915467,123874651.13915467,123875091.13915467,190.63960112431,28.0,318.5340130254626,7.983070085396688,36.1151282023758,944,408.33078,0.000151031,2,0.142573074
602,125993678.61234874,125993498.61234874,125993938.61234874,296.50074701686333,28.0,70.18235594034195,8.491203585680944,55.1701344630354,1350,861.9865112,0.000146162,3,0.197318554
635,130712537.65362698,130712357.65362698,130712797.65362698,1833.60840336598,28.0,170.0085527524352,12.0,80.0,871,6916.848633,0.000171563,5,0.149431586
645,130373378.67005622,130373198.67005622,130373638.67005622,266.3539708340334,28.0,182.62063070386648,8.34649906000336,49.74371475012602,323,693.2064209,0.00016208,3,0.052351732
646,126866102.04073176,126865922.04073176,126866362.04073176,198.69889475941932,28.0,20.326569095253944,8.021754694845214,37.56580105669549,764,436.1244507,0.000143051,2,0.109290853
648,126951077.51596396,126950897.51596396,126951337.51596396,121.21411493252856,28.0,180.8237139582634,7.6498277516761375,23.61854068785514,506,123.8492584,0.000128103,1,0.064820245
656,125545283.69341604,125545103.69341604,125545543.69341604,827.8949043297163,28.0,165.09132682532072,11.041895540782638,80.0,508,2928.480469,0.00015818,4,0.080355614
668,127845580.55451156,127845400.55451156,127845840.55451156,329.16560174169064,28.0,137.28066907823086,8.647994888360115,61.04980831350432,1028,961.7387085,0.000150668,3,0.154887021
626,128099518.35668044,128099338.35668044,128099778.35668044,3848.240469404234,28.0,86.12672651559114,12.0,80.0,879,14911.73242,0.000157318,5,0.138282731
589,125146534.12762618,125146354.12762618,125146794.12762618,3194.788664047933,28.0,345.11877350509167,12.0,80.0,860,12321.25586,0.000153756,5,0.132229879
612,127350115.41355796,127349935.41355796,127350375.41355796,8448.25403668707,28.0,151.7494747415185,12.0,80.0,923,33145.60938,0.000163382,5,0.150801763
640,128071863.542305,128071683.542305,128072123.542305,2936.725364951799,28.0,140.67065338790417,12.0,80.0,840,11295.41992,0.0001548,5,0.130032256
642,127735029.6578579,127734849.6578579,127735289.6578579,5660.473103694303,28.0,167.41836111992598,12.0,80.0,884,22102.80469,0.000161138,5,0.142445818
643,123526669.45372725,123526489.45372725,123526929.45372725,702.1445372212189,28.0,197.88328870385885,10.438293778661851,80.0,458,2428.131836,0.000151348,3,0.069317497
654,125010184.70099738,125010004.70099738,125010444.70099738,569.3750677754862,28.0,100.5966616794467,9.801000325322333,80.0,832,1853.016968,0.000149724,3,0.124570213
678,124871263.78580938,124871083.78580938,124871523.78580938,3868.0518627990864,28.0,344.96591095626354,12.0,80.0,865,14981.12305,0.000153623,5,0.132883772
681,124163634.06377137,124163454.06377137,124163894.06377137,581.0013359893285,28.0,52.21415627747774,9.856806412748776,80.0,544,1949.87561,0.00015057,3,0.081910223
682,126939620.21444848,126939440.21444848,126939880.21444848,1781.1359495969389,28.0,27.12177588790655,12.0,80.0,811,6681.524902,0.00016874,4,0.136848032
684,125468418.04501128,125468238.04501128,125468678.04501128,1435.661743418907,28.0,331.65165884792805,12.0,80.0,836,5337.689941,0.00015072,4,0.126002312
