GaugeID,Station,min_elevation_m,max_elevation_m,mean_elevation_m,catchment_relief_m,mean_slope_degrees,mean_slope_pct,steep_slope_area_fraction,topographic_wetness_index_twi,stream_power_index_spi,aspect_windward_fraction,orographic_amplification_factor,dominant_relief_type
585,Ozerkheda,85.0,950.0,385.0,865.0,21.5,39.4,0.38,8.42,11.2,0.68,1.45,High-Gradient Escarpment
589,Arjunwad (seasonal),528.0,1020.0,610.0,492.0,8.2,14.4,0.12,11.85,8.4,0.42,1.15,Valley Floodplain
596,Niivali,9.0,953.0,340.0,944.0,24.8,46.2,0.46,7.85,12.6,0.78,1.65,Steep Coastal Escarpment
602,Mahad,8.0,1358.0,420.0,1350.0,28.4,54.1,0.55,7.2,13.8,0.85,1.9,Ultra-Steep Ghat Valley
612,Takli,408.0,840.0,520.0,432.0,6.5,11.4,0.08,12.4,7.6,0.32,1.08,Deccan Lowland Plain
626,Ujani dam,488.0,760.0,545.0,272.0,5.8,10.2,0.06,13.1,6.9,0.28,1.05,Flat Reservoir Basin
635,Kopergaon,485.0,1356.0,625.0,871.0,9.4,16.5,0.14,11.2,8.8,0.4,1.2,Upper Godavari Valley
640,Dhond,498.0,1422.0,680.0,924.0,12.8,22.7,0.22,10.5,9.7,0.5,1.35,Trans-Basin Plateau
642,Narsingpur,452.0,775.0,530.0,323.0,6.2,10.9,0.07,12.8,7.2,0.3,1.06,Alluvial River Confluence
643,Terwad (seasonal),525.0,1048.0,635.0,523.0,11.5,20.3,0.18,10.9,9.1,0.48,1.25,Panchganga Trough
645,Nasik,552.0,1410.0,720.0,858.0,15.2,27.2,0.26,9.8,10.4,0.58,1.4,Trimbak Mountain Flank
646,Nagothane,7.0,771.0,245.0,764.0,23.1,42.6,0.42,8.1,12.1,0.74,1.58,Konkan Coastal Trench
648,Pen,10.0,516.0,185.0,506.0,19.4,35.2,0.34,8.6,11.4,0.7,1.42,Konkan River Corridor
654,Warunji,555.0,1438.0,780.0,883.0,26.5,49.8,0.52,7.5,13.2,0.82,1.8,Mahabaleshwar Ridgeline
656,Nandre,532.0,1040.0,640.0,508.0,9.8,17.3,0.15,11.4,8.6,0.44,1.18,Yerala Valley Basin
668,Badlapur,14.0,1042.0,290.0,1028.0,25.6,47.9,0.48,7.7,12.8,0.76,1.68,Matheran Foothill Pass
678,Kurundwad,529.0,980.0,590.0,451.0,8.8,15.5,0.12,11.6,8.2,0.4,1.12,Krishna Valley Confluence
681,Samdoli (seasonal),535.0,1065.0,620.0,530.0,10.2,18.0,0.16,11.1,8.9,0.46,1.22,Varna Valley Basin
682,Sarati,468.0,920.0,560.0,452.0,7.9,13.9,0.1,12.1,7.9,0.35,1.1,Nira River Flat
684,Karad,558.0,1380.0,710.0,822.0,18.5,33.5,0.32,9.2,10.8,0.62,1.52,Krishna-Koyna Junction
NE-01,Guwahati DC Court,42.0,1960.0,380.0,1918.0,16.5,29.6,0.28,9.9,11.5,0.65,1.5,Meghalaya Escarpment Flank
NE-02,Dibrugarh,98.0,2450.0,460.0,2352.0,22.0,40.4,0.4,8.6,13.1,0.72,1.75,Arunachal Foothills Rise
NE-03,Silchar,22.0,1820.0,290.0,1798.0,19.2,34.8,0.35,9.1,12.0,0.68,1.6,Barail Mountain Valley
