Station,State,District,Latitude,Longitude,rainfall_mm,timestamp,source_file
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,10.0,2013-02-18 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,12.0,2013-03-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,7.0,2013-03-31 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-04-11 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2013-04-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,7.0,2013-04-17 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,12.0,2013-04-19 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2013-04-20 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-04-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-04-23 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-04-24 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-04-27 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,18.0,2013-04-28 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2013-04-29 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,9.0,2013-05-01 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-05-02 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,42.0,2013-05-05 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,22.0,2013-05-06 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,22.0,2013-05-07 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,25.0,2013-05-08 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,30.0,2013-05-09 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,35.0,2013-05-10 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,29.0,2013-05-11 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,8.0,2013-05-12 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-05-13 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2013-05-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-05-18 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2013-05-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-05-23 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-05-24 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-05-25 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,24.0,2013-06-18 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,33.0,2013-06-19 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,25.0,2013-06-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,23.0,2013-06-23 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2013-06-24 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,14.0,2013-06-25 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,14.0,2013-06-26 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
