unit_id,unit_name,force_type,base_location,district,state,latitude,longitude,rescue_boats_count,deep_divers_count,inflatable_rafts_count,satellite_comms_ready,helpline_24x7,operational_jurisdiction
RESP-01,5th Battalion NDRF HQ,NDRF (National Disaster Response Force),Sudumbare,Pune,Maharashtra,18.7210,73.7140,45,60,30,1,+91-2114-247000,Maharashtra Western Ghats / Konkan / Goa
RESP-02,NDRF Regional Response Centre Andheri,NDRF,Andheri,Mumbai Suburban,Maharashtra,19.1190,72.8460,20,25,15,1,+91-22-26840000,Mumbai Metropolitan Region / Thane / Palghar
RESP-03,Maharashtra SDRF Battalion 1,SDRF (State Disaster Response Force),Daund,Pune,Maharashtra,18.4620,74.5810,25,30,20,1,+91-2117-262300,Pune / Satara / Solapur / Kolhapur
RESP-04,Maharashtra SDRF Battalion 2,SDRF,Nagpur,Nagpur,Maharashtra,21.1458,79.0882,25,30,20,1,+91-712-2560000,Vidarbha / Marathwada / Central Maharashtra
RESP-05,Indian Navy Flood Rescue Unit INS Shivaji,Indian Navy,Lonavala,Pune,Maharashtra,18.7340,73.4120,15,40,12,1,+91-2114-284000,Ghat Escarpments / Western Rivers
RESP-06,Indian Coast Guard Station Murud,Indian Coast Guard,Murud,Raigad,Maharashtra,18.3240,72.9640,12,20,10,1,+91-2144-274100,Konkan Coastline / Savitri & Amba Estuaries
RESP-07,District Emergency Operations Centre (DEOC) Satara,DEOC,Satara,Satara,Maharashtra,17.6850,74.0050,8,12,8,1,1077,Satara / Koyna Catchment
RESP-08,District Emergency Operations Centre (DEOC) Kolhapur,DEOC,Kolhapur,Kolhapur,Maharashtra,16.7050,74.2430,10,16,10,1,1077,Kolhapur / Panchganga Basin
RESP-09,District Emergency Operations Centre (DEOC) Raigad,DEOC,Alibag,Raigad,Maharashtra,18.6410,72.8720,12,18,12,1,1077,Raigad / Mahad / Savitri Basin
RESP-10,1st Battalion NDRF HQ,NDRF,Patgaon,Kamrup Metropolitan,Assam,26.1150,91.6420,50,65,35,1,+91-361-2840284,Assam / Northeast Flood Pluri-Basin
